IFBL;ifbluurhok;Xcoord;Ycoord
C416;c4-16;152012.000000;216180.000000
C417;c4-17;156012.000000;216180.000000
C418;c4-18;160012.000000;216180.000000
C421;c4-21;132012.000000;212180.000000
C422;c4-22;136012.000000;212180.000000
C423;c4-23;140012.000000;212180.000000
C424;c4-24;144012.000000;212180.000000
C425;c4-25;148012.000000;212180.000000
C426;c4-26;152012.000000;212180.000000
C427;c4-27;156012.000000;212180.000000
C428;c4-28;160012.000000;212180.000000
C431;c4-31;132012.000000;208180.000000
C432;c4-32;136012.000000;208180.000000
C433;c4-33;140012.000000;208180.000000
C434;c4-34;144012.000000;208180.000000
C435;c4-35;148012.000000;208180.000000
C436;c4-36;152012.000000;208180.000000
C437;c4-37;156012.000000;208180.000000
C438;c4-38;160012.000000;208180.000000
C441;c4-41;132012.000000;204180.000000
C442;c4-42;136012.000000;204180.000000
C443;c4-43;140012.000000;204180.000000
C444;c4-44;144012.000000;204180.000000
C445;c4-45;148012.000000;204180.000000
C446;c4-46;152012.000000;204180.000000
C447;c4-47;156012.000000;204180.000000
C448;c4-48;160012.000000;204180.000000
C451;c4-51;132012.000000;200180.000000
C452;c4-52;136012.000000;200180.000000
C453;c4-53;140012.000000;200180.000000
C454;c4-54;144012.000000;200180.000000
C455;c4-55;148012.000000;200180.000000
C456;c4-56;152012.000000;200180.000000
C457;c4-57;156012.000000;200180.000000
C458;c4-58;160012.000000;200180.000000
C511;c5-11;164012.000000;216180.000000
C512;c5-12;168012.000000;216180.000000
C513;c5-13;172012.000000;216180.000000
C514;c5-14;176012.000000;216180.000000
C515;c5-15;180012.000000;216180.000000
C516;c5-16;184012.000000;216180.000000
C517;c5-17;188012.000000;216180.000000
C518;c5-18;192012.000000;216180.000000
C521;c5-21;164012.000000;212180.000000
C522;c5-22;168012.000000;212180.000000
C523;c5-23;172012.000000;212180.000000
C524;c5-24;176012.000000;212180.000000
C525;c5-25;180012.000000;212180.000000
C526;c5-26;184012.000000;212180.000000
C527;c5-27;188012.000000;212180.000000
C528;c5-28;192012.000000;212180.000000
C531;c5-31;164012.000000;208180.000000
C532;c5-32;168012.000000;208180.000000
C533;c5-33;172012.000000;208180.000000
C534;c5-34;176012.000000;208180.000000
C535;c5-35;180012.000000;208180.000000
C536;c5-36;184012.000000;208180.000000
C537;c5-37;188012.000000;208180.000000
C538;c5-38;192012.000000;208180.000000
C541;c5-41;164012.000000;204180.000000
C542;c5-42;168012.000000;204180.000000
C543;c5-43;172012.000000;204180.000000
C544;c5-44;176012.000000;204180.000000
C545;c5-45;180012.000000;204180.000000
C546;c5-46;184012.000000;204180.000000
C547;c5-47;188012.000000;204180.000000
C548;c5-48;192012.000000;204180.000000
C551;c5-51;164012.000000;200180.000000
C552;c5-52;168012.000000;200180.000000
C553;c5-53;172012.000000;200180.000000
C554;c5-54;176012.000000;200180.000000
C555;c5-55;180012.000000;200180.000000
C556;c5-56;184012.000000;200180.000000
C557;c5-57;188012.000000;200180.000000
C558;c5-58;192012.000000;200180.000000
C611;c6-11;196012.000000;216180.000000
C612;c6-12;200012.000000;216180.000000
C613;c6-13;204012.000000;216180.000000
C614;c6-14;208012.000000;216180.000000
C615;c6-15;212012.000000;216180.000000
C616;c6-16;216012.000000;216180.000000
C617;c6-17;220012.000000;216180.000000
C618;c6-18;224012.000000;216180.000000
C621;c6-21;196012.000000;212180.000000
C622;c6-22;200012.000000;212180.000000
C623;c6-23;204012.000000;212180.000000
C624;c6-24;208012.000000;212180.000000
C625;c6-25;212012.000000;212180.000000
C626;c6-26;216012.000000;212180.000000
C627;c6-27;220012.000000;212180.000000
C628;c6-28;224012.000000;212180.000000
C631;c6-31;196012.000000;208180.000000
C632;c6-32;200012.000000;208180.000000
C633;c6-33;204012.000000;208180.000000
C634;c6-34;208012.000000;208180.000000
C635;c6-35;212012.000000;208180.000000
C636;c6-36;216012.000000;208180.000000
C637;c6-37;220012.000000;208180.000000
C638;c6-38;224012.000000;208180.000000
C641;c6-41;196012.000000;204180.000000
C642;c6-42;200012.000000;204180.000000
C643;c6-43;204012.000000;204180.000000
C644;c6-44;208012.000000;204180.000000
C645;c6-45;212012.000000;204180.000000
C646;c6-46;216012.000000;204180.000000
C647;c6-47;220012.000000;204180.000000
C648;c6-48;224012.000000;204180.000000
C651;c6-51;196012.000000;200180.000000
C652;c6-52;200012.000000;200180.000000
C653;c6-53;204012.000000;200180.000000
C654;c6-54;208012.000000;200180.000000
C655;c6-55;212012.000000;200180.000000
C656;c6-56;216012.000000;200180.000000
C657;c6-57;220012.000000;200180.000000
C658;c6-58;224012.000000;200180.000000
C711;c7-11;228012.000000;216180.000000
C712;c7-12;232012.000000;216180.000000
C721;c7-21;228012.000000;212180.000000
C722;c7-22;232012.000000;212180.000000
C723;c7-23;236012.000000;212180.000000
C724;c7-24;240012.000000;212180.000000
C731;c7-31;228012.000000;208180.000000
C732;c7-32;232012.000000;208180.000000
C733;c7-33;236012.000000;208180.000000
C734;c7-34;240012.000000;208180.000000
C735;c7-35;244012.000000;208180.000000
C736;c7-36;248012.000000;208180.000000
C737;c7-37;252012.000000;208180.000000
C741;c7-41;228012.000000;204180.000000
C742;c7-42;232012.000000;204180.000000
C743;c7-43;236012.000000;204180.000000
C744;c7-44;240012.000000;204180.000000
C745;c7-45;244012.000000;204180.000000
C746;c7-46;248012.000000;204180.000000
C747;c7-47;252012.000000;204180.000000
C748;c7-48;256012.000000;204180.000000
C751;c7-51;228012.000000;200180.000000
C752;c7-52;232012.000000;200180.000000
C753;c7-53;236012.000000;200180.000000
C754;c7-54;240012.000000;200180.000000
C755;c7-55;244012.000000;200180.000000
C756;c7-56;248012.000000;200180.000000
C757;c7-57;252012.000000;200180.000000
D016;d0-16;24012.000000;196180.000000
D017;d0-17;28012.000000;196180.000000
D018;d0-18;32012.000000;196180.000000
D026;d0-26;24012.000000;192180.000000
D027;d0-27;28012.000000;192180.000000
D028;d0-28;32012.000000;192180.000000
D036;d0-36;24012.000000;188180.000000
D037;d0-37;28012.000000;188180.000000
D038;d0-38;32012.000000;188180.000000
D047;d0-47;28012.000000;184180.000000
D048;d0-48;32012.000000;184180.000000
D056;d0-56;24012.000000;180180.000000
D057;d0-57;28012.000000;180180.000000
D058;d0-58;32012.000000;180180.000000
D111;d1-11;36012.000000;196180.000000
D112;d1-12;40012.000000;196180.000000
D113;d1-13;44012.000000;196180.000000
D114;d1-14;48012.000000;196180.000000
D115;d1-15;52012.000000;196180.000000
D116;d1-16;56012.000000;196180.000000
D117;d1-17;60012.000000;196180.000000
D118;d1-18;64012.000000;196180.000000
D121;d1-21;36012.000000;192180.000000
D122;d1-22;40012.000000;192180.000000
D123;d1-23;44012.000000;192180.000000
D124;d1-24;48012.000000;192180.000000
D125;d1-25;52012.000000;192180.000000
D126;d1-26;56012.000000;192180.000000
D127;d1-27;60012.000000;192180.000000
D128;d1-28;64012.000000;192180.000000
D131;d1-31;36012.000000;188180.000000
D132;d1-32;40012.000000;188180.000000
D133;d1-33;44012.000000;188180.000000
D134;d1-34;48012.000000;188180.000000
D135;d1-35;52012.000000;188180.000000
D136;d1-36;56012.000000;188180.000000
D137;d1-37;60012.000000;188180.000000
D138;d1-38;64012.000000;188180.000000
D141;d1-41;36012.000000;184180.000000
D142;d1-42;40012.000000;184180.000000
D143;d1-43;44012.000000;184180.000000
D144;d1-44;48012.000000;184180.000000
D145;d1-45;52012.000000;184180.000000
D146;d1-46;56012.000000;184180.000000
D147;d1-47;60012.000000;184180.000000
D148;d1-48;64012.000000;184180.000000
D151;d1-51;36012.000000;180180.000000
D152;d1-52;40012.000000;180180.000000
D153;d1-53;44012.000000;180180.000000
D154;d1-54;48012.000000;180180.000000
D155;d1-55;52012.000000;180180.000000
D156;d1-56;56012.000000;180180.000000
D157;d1-57;60012.000000;180180.000000
D158;d1-58;64012.000000;180180.000000
