IFBL;IFBLuurhok;Xcoord;Ycoord;REGIO;DISTRICT;area;max
D318;d3-18;128012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15967491.128527;y
D411;d4-11;132012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15755067.814840;y
D413;d4-13;140012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15475527.531175;y
D414;d4-14;144012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15996876.937131;y
D415;d4-15;148012.000000;196180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8830383.876251;y
C254;c2-54;80012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8803879.531365;y
C255;c2-55;84012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15166689.037715;y
C256;c2-56;88012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15734753.340328;y
C257;c2-57;92012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;11363595.427110;y
C258;c2-58;96012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15954163.485529;y
C351;c3-51;100012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C352;c3-52;104012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C353;c3-53;108012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C354;c3-54;112012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C355;c3-55;116012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C356;c3-56;120012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C357;c3-57;124012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;14859614.552016;y
C358;c3-58;128012.000000;200180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8565602.630650;y
C241;c2-41;68012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;10751345.466939;y
C242;c2-42;72012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;9603696.806828;y
C243;c2-43;76012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;14954720.504842;y
C244;c2-44;80012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;13544657.431068;y
C247;c2-47;92012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;8610083.968637;y
C248;c2-48;96012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C341;c3-41;100012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C342;c3-42;104012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
C343;c3-43;108012.000000;204180.000000;Ecoregio van de Pleistocene riviervalleien;Pleistoceen riviervalleiendistrict;15999999.835363;y
